handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct
@mrbeast,MrBeast,youtube,food,476000000.0,25.64,,FALSE,0.0
@virat.kohli,Virat Kohli,instagram,lifestyle,276324628.0,3.61,,TRUE,0.0
@cocomelon,Cocomelon - Nursery Rhymes,youtube,music,201000000.0,50,,FALSE,0.0
@vladandniki,Vlad and Niki,youtube,lifestyle,149000000.0,50,,FALSE,0.0
@stokestwins,Stokes Twins,youtube,business,139000000.0,49.33,,FALSE,0.0
@kidsdianashow,??Kids Diana Show,youtube,travel,138000000.0,50,,FALSE,0.0
@likenastyaofficial,Like Nastya,youtube,travel,132000000.0,50,,FALSE,0.0
@kimpro828,ê¹?ë¡KIMPRO,youtube,lifestyle,132000000.0,26.16,,FALSE,0.0
@alejoigoa,Alejo Igoa,youtube,lifestyle,114000000.0,22.7,,FALSE,0.0
@alanchikinchow,Alan's Universe,youtube,lifestyle,100000000.0,36.82,,FALSE,0.0
@blackpink,BLACKPINK,youtube,lifestyle,100000000.0,8.35,KR,FALSE,0.0
@chuchutv,ChuChu TV Nursery Rhymes & Kids Songs,youtube,travel,98100000.0,50,,FALSE,0.0
@shraddhakapoor,Shraddha ??instagram,lifestyle,94650625,2.06,,TRUE,0,
@a4a4a4a4,A4,youtube,lifestyle,92700000.0,38.76,,FALSE,0.0
@topperguild,Topper Guild,youtube,lifestyle,89200000.0,24.09,,FALSE,0.0
@pinkfong,Baby Shark - Pinkfong Kids??Songs & Stories,youtube,music,84500000.0,16.96,,FALSE,0.0
@bts,BANGTANTV,youtube,lifestyle,84100000.0,10.92,,FALSE,0.0
@klbrobijurithvik1,KL BRO Biju Rithvik,youtube,business,83800000.0,31.26,,FALSE,0.0
@toysandcolors,Toys and Colors,youtube,music,82400000.0,50,,FALSE,0.0
@hybelabels,HYBE LABELS,youtube,music,80800000.0,6.68,KR,FALSE,0.0
@5minutecraftsyoutube,5-Minute Crafts,youtube,gaming,80700000.0,4.33,,FALSE,0.0
@katrinakaif,Katrina Kaif,instagram,beauty,80013443.0,3.14,,TRUE,0.0
@bts_official_bighit,BTS,tiktok,lifestyle,79300000.0,6.44,,TRUE,0.0
@khaby00,Khabane Lame,instagram,lifestyle,77716767.0,2.42,,TRUE,0.0
@justinbieber,Justin Bieber,youtube,lifestyle,77300000.0,50,,FALSE,0.0
@markrober,Mark Rober,youtube,education,76500000.0,50,,FALSE,0.0
@issei0806,ISSEI / ?ã£?ã,youtube,comedy,74900000.0,18.63,,FALSE,0.0
@billieeilish,BILLIE EILISH,tiktok,lifestyle,74500000.0,9.57,,TRUE,0.0
@filmigaane,Shemaroo Filmi Gaane,youtube,music,74500000.0,4.72,,FALSE,0.0
@beingsalmankhan,Salman Khan,instagram,music,72769606.0,3.11,,TRUE,0.0
@infobellshindirhymes,Infobells - Hindi,youtube,fashion,72200000.0,50,,FALSE,0.0
@yrf,YRF,youtube,music,71700000.0,16.2,,FALSE,0.0
@zhong,Zhong,youtube,business,71400000.0,14.21,,FALSE,0.0
@anayakandhal,Anaya Kandhal,youtube,lifestyle,71100000.0,35.08,,FALSE,0.0
@anushkasharma,AnushkaSharma1588,instagram,lifestyle,68713893.0,6.23,,TRUE,0.0
@eminem,EminemMusic,youtube,music,66600000.0,3.12,,FALSE,0.0
@taylorswift,Taylor Swift,youtube,business,63100000.0,3.6,,FALSE,0.0
@pandaboi,PANDA BOI,youtube,business,62500000.0,34.19,,FALSE,0.0
@saregamamusic,Saregama Music,youtube,music,62100000.0,5.11,,FALSE,0.0
@loolookids,LooLoo Kids - Nursery Rhymes and Children's Songs,youtube,music,62000000.0,50,,FALSE,0.0
@dudeperfect,Dude Perfect,youtube,lifestyle,61900000.0,50,,FALSE,0.0
@mashabearrussian,?Ð°?Ð° Ð¸ ?ÐµÐ´Ð²ÐµÐ´?,youtube,lifestyle,60000000.0,34.71,,FALSE,0.0
@sonymusicindiavevo,SonyMusicIndiaVEVO,youtube,music,59800000.0,15.66,,FALSE,0.0
@kyliejenner,Kylie Jenner,tiktok,lifestyle,59700000.0,5.05,,TRUE,0.0
@torung,ToRung,youtube,comedy,59400000.0,50,,FALSE,0.0
@edsheeran,Ed Sheeran,youtube,lifestyle,59100000.0,50,,FALSE,0.0
@marshmello,Marshmello,youtube,lifestyle,58500000.0,50,US,FALSE,0.0
@jio_hotstar_kids,JioHotstar Kids,youtube,lifestyle,58300000.0,8.1,,FALSE,0.0
@mikecrack,Mikecrack,youtube,lifestyle,58200000.0,16.66,,FALSE,0.0
@billieeilish,Billie Eilish,youtube,lifestyle,58000000.0,50,US,FALSE,0.0
@billionsurprisetoys,Billion Surprise Toys,youtube,music,57900000.0,12.47,,FALSE,0.0
@mrbeast2,MrBeast 2,youtube,lifestyle,57400000.0,50,,FALSE,0.0
@getmovies,Get Movies,youtube,music,57100000.0,15.13,,FALSE,0.0
@celinedept,Celine Dept,youtube,lifestyle,57000000.0,43.1,,FALSE,0.0
@arianagrande,Ariana Grande,youtube,lifestyle,57000000.0,3.08,,FALSE,0.0
@mrbeastgaming,MrBeast Gaming,youtube,gaming,56100000.0,50,,FALSE,0.0
@shfa-1,shfa,youtube,lifestyle,55900000.0,47.64,,FALSE,0.0
@juegagerman,JuegaGerman,youtube,lifestyle,55300000.0,13.51,CL,FALSE,0.0
@karolg,Karol G,tiktok,lifestyle,55200000.0,5.79,,TRUE,0.0
@mashabearen,Masha and The Bear,youtube,travel,54900000.0,28.55,,FALSE,0.0
@ishtarmusic,Ishtar Music,youtube,music,53200000.0,8.21,,FALSE,0.0
@badbunnypr,Bad Bunny,youtube,music,52700000.0,50,,FALSE,0.0
@realfoolsshorts63,Real fools shorts official,youtube,business,52600000.0,50,,FALSE,0.0
