handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct
@mrbeast,MrBeast,youtube,food,476000000,25.64,,FALSE,0
@virat.kohli,Virat Kohli,instagram,lifestyle,276324628,3.61,,TRUE,0
@cocomelon,Cocomelon - Nursery Rhymes,youtube,music,201000000,50,,FALSE,0
@vladandniki,Vlad and Niki,youtube,lifestyle,149000000,50,,FALSE,0
@stokestwins,Stokes Twins,youtube,business,139000000,49.33,,FALSE,0
@kidsdianashow,??Kids Diana Show,youtube,travel,138000000,50,,FALSE,0
@likenastyaofficial,Like Nastya,youtube,travel,132000000,50,,FALSE,0
@kimpro828,김?�로KIMPRO,youtube,lifestyle,132000000,26.16,,FALSE,0
@alejoigoa,Alejo Igoa,youtube,lifestyle,114000000,22.7,,FALSE,0
@alanchikinchow,Alan's Universe,youtube,lifestyle,100000000,36.82,,FALSE,0
@blackpink,BLACKPINK,youtube,lifestyle,100000000,8.35,KR,FALSE,0
@chuchutv,ChuChu TV Nursery Rhymes & Kids Songs,youtube,travel,98100000,50,,FALSE,0
@shraddhakapoor,Shraddha ??instagram,lifestyle,94650625,2.06,,TRUE,0,
@a4a4a4a4,A4,youtube,lifestyle,92700000,38.76,,FALSE,0
@topperguild,Topper Guild,youtube,lifestyle,89200000,24.09,,FALSE,0
@pinkfong,Baby Shark - Pinkfong Kids??Songs & Stories,youtube,music,84500000,16.96,,FALSE,0
@bts,BANGTANTV,youtube,lifestyle,84100000,10.92,,FALSE,0
@klbrobijurithvik1,KL BRO Biju Rithvik,youtube,business,83800000,31.26,,FALSE,0
@toysandcolors,Toys and Colors,youtube,music,82400000,50,,FALSE,0
@hybelabels,HYBE LABELS,youtube,music,80800000,6.68,KR,FALSE,0
@5minutecraftsyoutube,5-Minute Crafts,youtube,gaming,80700000,4.33,,FALSE,0
@katrinakaif,Katrina Kaif,instagram,beauty,80013443,3.14,,TRUE,0
@bts_official_bighit,BTS,tiktok,lifestyle,79300000,6.44,,TRUE,0
