handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct,data_repaired_flag,recent_posts_sampled_sim,luxury_post_count_sim,jewelry_post_count_sim,fashion_apparel_post_count_sim,beauty_post_count_sim,lifestyle_post_count_sim,luxury_post_ratio_sim,jewelry_post_ratio_sim,fashion_apparel_post_ratio_sim,beauty_post_ratio_sim,lifestyle_post_ratio_sim,past_campaign_count_sim,past_luxury_campaign_count_sim,past_successful_campaign_count_sim,past_successful_luxury_campaign_count_sim,past_campaign_success_rate_sim,past_luxury_campaign_success_rate_sim,avg_campaign_roas_sim,avg_sales_uplift_pct_sim,avg_conversion_rate_pct_sim,simulated_campaign_success_target,synthetic_data_flag,synthetic_generation_version
@mrbeast,MrBeast,youtube,food,476000000.0,25.64,,FALSE,0.0,0,20,2,0,2,1,7,0.1,0.0,0.1,0.05,0.35,8,1,5,0,0.625,0.0,3.18,19.97,3.91,0,1,v1_deterministic
@virat.kohli,Virat Kohli,instagram,lifestyle,276324628.0,3.61,,TRUE,0.0,0,30,15,3,9,3,17,0.5,0.1,0.3,0.1,0.5667,9,5,4,5,0.4444,1.0,2.54,26.1,2.26,0,1,v1_deterministic
@cocomelon,Cocomelon - Nursery Rhymes,youtube,music,201000000.0,50,,FALSE,0.0,0,20,8,0,7,4,8,0.4,0.0,0.35,0.2,0.4,8,5,4,5,0.5,1.0,2.98,14.42,4.05,0,1,v1_deterministic
@vladandniki,Vlad and Niki,youtube,lifestyle,149000000.0,50,,FALSE,0.0,0,20,3,2,8,6,13,0.15,0.1,0.4,0.3,0.65,11,3,5,3,0.4545,1.0,2.18,11.03,3.15,0,1,v1_deterministic
@stokestwins,Stokes Twins,youtube,business,139000000.0,49.33,,FALSE,0.0,0,20,2,1,3,1,3,0.1,0.05,0.15,0.05,0.15,5,1,3,1,0.6,1.0,2.75,18.62,3.49,0,1,v1_deterministic
@kidsdianashow,??Kids Diana Show,youtube,travel,138000000.0,50,,FALSE,0.0,0,20,4,1,1,1,5,0.2,0.05,0.05,0.05,0.25,9,1,5,1,0.5556,1.0,2.96,22.1,3.76,1,1,v1_deterministic
@likenastyaofficial,Like Nastya,youtube,travel,132000000.0,50,,FALSE,0.0,0,20,7,1,5,6,8,0.35,0.05,0.25,0.3,0.4,11,2,9,1,0.8182,0.5,3.33,13.9,5.12,1,1,v1_deterministic
@kimpro828,ê¹?ë¡KIMPRO,youtube,lifestyle,132000000.0,26.16,,FALSE,0.0,0,20,8,1,6,6,14,0.4,0.05,0.3,0.3,0.7,5,1,3,1,0.6,1.0,3.34,23.06,3.73,1,1,v1_deterministic
@alejoigoa,Alejo Igoa,youtube,lifestyle,114000000.0,22.7,,FALSE,0.0,0,20,8,2,6,8,16,0.4,0.1,0.3,0.4,0.8,8,3,7,3,0.875,1.0,4.14,28.89,5.33,1,1,v1_deterministic
@alanchikinchow,Alan's Universe,youtube,lifestyle,100000000.0,36.82,,FALSE,0.0,0,20,8,2,8,4,17,0.4,0.1,0.4,0.2,0.85,8,0,7,0,0.875,0.0,4.15,26.99,4.61,1,1,v1_deterministic
