rank,platform,handle,name,followers_source_display,engagement_rate_source,niche_standardized,source_url,notes
1,instagram,@jin,Jin of BTS,56.6M,7.7%,music,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
2,instagram,@dlwlrma,이지금 IU,33.5M,8.44%,music,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
3,instagram,@itzy.all.in.us,ITZY,19.3M,8.28%,music,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
4,instagram,@taeyeon_ss,TaeYeon,17.7M,1.56%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
5,instagram,@xeesoxee,한소희,16.7M,5.96%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
6,instagram,@hyunah_aa,Hyuna Kim,15.3M,0.45%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
7,instagram,@hm_son7,Son HeungMin(손흥민)🇰🇷,14.5M,3.01%,sports,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
8,instagram,@imwinter,WINTER,13.8M,7.42%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
9,instagram,@i_dle_official,i-dle (아이들),13.2M,9.28%,music,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
10,instagram,@goyounjung,고윤정,13M,16.32%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
11,instagram,@newjeans_official,NewJeans,12.8M,11.15%,music,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
12,instagram,@nayeonyny,나연 (NAYEON),12.6M,5.37%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
13,instagram,@clean_0828,김세정,11.6M,8.97%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
14,instagram,@hyeri_0609,혜리,11.5M,9.7%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
15,instagram,@i.2.n.8,I.N,11.2M,9.59%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
16,instagram,@ldh_sky,이도현,10.1M,7.03%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
17,instagram,@_seorina,설인아 sᴇᴏʀɪɴᴀ,10M,11.64%,lifestyle,https://hafi.pro/top/most-followed-instagram/south-korea,Hafi Top 100 South Korea Instagram; niche standardized by heuristic; verified/fake follower fields unavailable.
